OFFENCE_CODE,STATUTE_CODE,DESCRIPTION,SEVERITY_RANKING,ACTIVE_FLAG,EXPIRY_DATE,HO_CODE
RC86341,RC86,Cause use of a motor vehicle windscreen   wipers not fitted,125,Y,,815/90
RC86342,RC86,Cause use of a motor vehicle windscreen  washers not fitted,125,Y,,815/90
RC86345,RC86,Cause use of motor vehicle with no speedometer fitted,125,Y,,815/90
RC86346,RC86,Cause use of a motor vehicle with speedometer obscured,125,Y,,815/90
RC86347,RC86,Cause use of motor vehicle - speedometer not maintained in good working order,125,Y,,815/90
RC86348,RC86,Cause the use of a motor vehicle no warning instrument fitted,125,Y,,815/90
RC86349,RC86,Cause use of a motor vehicle fitted with bell / siren / two tone etc,125,Y,,815/90
RC86350,RC86,Cause use of vehicle no fuel cap / leaking fuel tank,125,Y,,815/90
RC86351,RC86,Cause use of motor vehicle - seat belt not fitted,125,Y,,815/90
RC86352,RC86,Cause use of motor vehicle - structure not maintained - seat belt,125,Y,,815/90
RC86353,RC86,Cause use of motor vehicle - adjusting device not working - seat belt,125,Y,,815/90
RF96065,RF96,Naval/marine fail to provide information in connection with the lapse of deferral/entitlement to be released/discharged,93,N,2014-07-05 00:00:00,154/04
RF96066,RF96,Airman fail to provide info' in connection with the lapse of deferral/entitlement to be released/discharged etc,93,N,2014-07-05 00:00:00,155/08
RF96067,RF96,Soldier knowingly/recklessly provide false/misleading info' in connection with an application under reg's under s78/79,93,N,2014-07-05 00:00:00,153/15
RF96068,RF96,Naval/marine knowingly/recklessly provide false/misleading info' in connection with application under reg's under s78/79,93,N,2014-07-05 00:00:00,154/04
RF96069,RF96,Airman knowingly/recklessly provide false/misleading info' in connection with application under reg's under s78/79,93,N,2014-07-05 00:00:00,155/08
RF96070,RF96,Soldier knowingly/recklessly provide false/misleading information re lapse of deferral/entitlement to release/discharge,93,N,2014-07-05 00:00:00,153/15
RF96071,RF96,Naval/marine knowingly/recklessly provide false/misleading info' in connection with lapse of deferral/determination,93,N,2014-07-05 00:00:00,154/04
RF96072,RF96,Airman knowingly/recklessly provide false/misleading info' in connection with lapse of a deferral/determination,93,N,2014-07-05 00:00:00,155/08
RF96073,RF96,Soldier fail provide info' required to provide by reg's in connection with a claim by another under reg's under s.83/84,93,N,2014-07-05 00:00:00,153/15
RF96074,RF96,Naval/marine fail provide info' req' by the reg's in connection with a claim by another under reg's under s.83/84,93,N,2014-07-05 00:00:00,154/04
RF96075,RF96,Airman fail to provide info req' to provide by the reg's in connection with a claim by another under reg's under s.83/84,93,N,2014-07-05 00:00:00,155/08
RF96076,RF96,Soldier knowingly/recklessly provide false/misleading info' in connection with claim under s.83/84 reg's,93,N,2014-07-05 00:00:00,153/15
RF96077,RF96,Naval/marine knowingly/recklessly provide false/misleading info in connection with claim under reg's under s.83/84,93,N,2014-07-05 00:00:00,154/04
RF96078,RF96,Airman knowingly/recklessly provide false/misleading info in connection with claim under reg's under s.83/84,93,N,2014-07-05 00:00:00,155/08
RF96079,RF96,Soldier knowingly/recklessly provide false/misleading info' in connection with appeal to appeal tribunal,93,N,2014-07-05 00:00:00,153/15
RF96080,RF96,Naval/marine knowingly/recklessly providing false/misleading info' in connection with appeal to appeal tribunal,93,N,2014-07-05 00:00:00,154/04
RF96081,RF96,Airman knowingly/recklessly provide false/misleading information in connection with an appeal to an appeal tribunal,93,N,2014-07-05 00:00:00,155/08
RF96082,RF96,Soldier fail provide info' in connection with appeal to appeal tribunal req' to provide by s.93 rules,93,N,2014-07-05 00:00:00,153/15
RF96083,RF96,Naval/marine fail provide info' in connection with appeal to appeal tribunal req' to provide by s.93 rules,93,N,2014-07-05 00:00:00,154/04
RF96084,RF96,Airman fail provide info' in connection with appeal to appeal tribunal req' to provide by s.93 rules,93,N,2014-07-05 00:00:00,155/08
RF96085,RF96,Failing to attend an appeal tribunal when required to do so by rules under section 93. (Soldier),93,N,2014-07-05 00:00:00,153/15
RF96086,RF96,Fail to attend an appeal tribunal when required to do so by rules under section 93. (Naval & Marine),93,N,2014-07-05 00:00:00,154/04
RF96087,RF96,Fail to attend an appeal tribunal when required to do so by rules under section 93. (Airman),93,N,2014-07-05 00:00:00,155/08
RF96088,RF96,Soldier knowingly/recklessly make false answer to question contained in an attestation paper/by enlisting officer,93,N,2014-07-05 00:00:00,153/15
RF96089,RF96,Naval/marine knowingly/recklessly make false answer to question contained in an attestation paper/by enlisting officer,93,N,2014-07-05 00:00:00,154/04
RF96090,RF96,Airman knowingly/recklessly make false answer to question contained in an attestation paper/by enlisting officer,93,N,2014-07-05 00:00:00,155/08
RF96101,RF96,Procure/persuade/attempt to procure/persuade a member of a reserve force (soldier) to commit an offence of desertion,93,N,2014-07-05 00:00:00,153/15
RS84019,RS84,Permit veh used for ASOR/Community-reg' carriage of passengers by road contravene relevant provision re control doc's,125,N,2014-07-05 00:00:00,173/13
RT03001,RT03,Fail to comply with a requirement of an inspector of rail accidents,93,Y,,169/08
RT03002,RT03,Make a statement for the purpose of an investigation into a rail accident knowing/suspecting that the statement was inaccurate/ misleading,93,Y,,169/08
RT03003,RT03,Provide information/record for the purpose of an investigation knowing/ suspecting is was misleading,93,Y,,169/08
RT03004,RT03,Obstruct an inspector of rail accidents in the course of his conduct of an investigation,93,Y,,169/08
RT03005,RT03,Obstruct a person accompanying an inspector of rail accidents in the course of his conduct of an investigation,93,Y,,169/08
RT03006,RT03,Obstruct a person exercising the powers inspector of rail accidents,93,Y,,169/08
RT03007,RT03,Manager/controller or person participating in management/ control of railway system fail to comply with S.10(1) direction to conduct/enable other to conduct investigation,93,Y,,095/14
RT03008,RT03,Provide railway services without having entered into a police services agreement in respect of railway services or  property,93,Y,,099/88
RT03009,RT03,Fail without reasonable excuse to comply with section 60 summons to attend  inquiry re matter connected with a police force & give evidence/produce doc,93,Y,,169/08
RT03010,RT03,Obstruct / fail to cooperate with inquiry - transport safety,93,Y,,169/08
RT03011,RT03,Professional staff on duty. Master/pilot of a ship/ seaman in a ship while on duty - ability to carry out duties impaired due to drink/drugs,93,Y,,007/13
RT03012,RT03,Master / pilot / seaman - on duty - alcohol in breath / blood / urine above prescribed limit,93,Y,,007/13
RT03013,RT03,Professional staff not on duty. Seaman not on duty - ability to protect passengers in event of emergency impaired due to drink/drugs,93,Y,,007/13
RT03014,RT03,Off duty seaman - alcohol in breath / blood / urine over prescribed limit - transport safety,93,Y,,007/13
RT03015,RT03,Non-professional staff. Ability to exercise/purport/ attempt to navigate ship impaired due to drink/drugs,93,Y,,007/13
RT03016,RT03,Non-professional staff. Ability to exercise/purport/ attempt to navigate ship impaired due to alcohol in breath/ blood/urine exceeding prescribed limit,93,Y,,007/13
RT03017,RT03,Perform aviation function while impaired by drink / drugs - transport safety,93,Y,,005/25
RT03018,RT03,Carried out an activity ancillary to an aviation function while impaired by drink / drugs - transport safety,93,Y,,005/25
RT03019,RT03,Perform aviation function when alcohol in breath / blood / urine over prescribed limit - transport safety,93,Y,,005/25
RT03020,RT03,Perform ancillary activity to aviation function - alcohol in breath / blood / urine over prescribed limit,93,Y,,005/25
RT03021,RT03,Fail to co -operate with the provision of a specimen of breath - preliminary test - maritime offence,93,Y,,099/88
RT03023,RT03,Fail to co  -operate with the provision of a specimen of breath - preliminary test - aviation offence,93,Y,,099/88
RT33001,RT33,Fail to keep railway level crossing gate closed,93,Y,,169/04
RT60005,RT60,Forging document other than operator's licence with intent to deceive,93,N,2014-07-05 00:00:00,814/01
RT60006,RT60,Altering document other than operator's licence with intent to deceive,93,N,2014-07-05 00:00:00,814/01
RV02025,RV02,Vehicle - new keeper of unlicensed vehicle fail to inform Secretary of State,125,Y,,810/90
RV02026,RV02,Fail to surrender a vehicle licence - relevant NI vehicle,125,N,2014-07-05 00:00:00,810/90
RV02027,RV02,Fail to deliver required declaration re unlicensed vehicle - relevant NI vehicle,125,N,2014-07-05 00:00:00,810/90
RV02028,RV02,Keep an unlicensed vehicle - relevant NI vehicle,125,N,2014-07-05 00:00:00,810/90
RV02029,RV02,Fail to notify change of keeper of unlicensed vehicle - relevant NI vehicle,125,N,2014-07-05 00:00:00,810/90
RV02030,RV02,Trade licence holder fail to notify change of name and address and send licence to Sec of State for amendment,125,Y,,810/90
RV02032,RV02,Trade licence holder permit another to exhibit a trade licence/plate which had been altered/defaced/mutilated /added to or figures etc become illegible or colour faded,125,Y,,812/00
RV02033,RV02,Vehicle - trade licence holder permit display of thing mistaken for trade plate,125,Y,,814/03
RV02034,RV02,Trade licence holder permit another person to display trade licence/plate when vehicle being used for unauthorised purpose,125,Y,,812/00
RV02035,RV02,Trade licence holder permit another person to display the trade licence/ plate on a vehicle of a class not authorised & vehicle being used for a purpose not prescribed,125,Y,,812/00
RV02036,RV02,Vehicle - trade licence holder fail to show registration mark on trade plate,125,Y,,810/90
RV02038,RV02,Fail to display vehicle licence in accordance with regulations,125,Y,,810/90
RV02039,RV02,Trade licence holder use mutilated/defaced etc licence,125,Y,,810/90
RV02040,RV02,Trade licence holder display thing mistaken for licence,125,Y,,814/03
RV02041,RV02,Trade licence use plate on vehicle class not authorised,125,Y,,812/00
RV02042,RV02,New keeper fail to notify intention to use/keep vehicle on a road other than under a trade licence,125,N,2014-07-05 00:00:00,810/90
RV02043,RV02,Vehicle - trade licence holder permit mutilation / defacing / addition to plate,125,Y,,812/00
RV02044,RV02,Vehicle - trade licence holder mutilate / deface / add to / alter trade plate,125,Y,,812/00
RV98001,RV98,Exceed the maximum permitted weight of a rigid vehicle: axle spacing (No MOT of Manufacturer's Plate),125,Y,,823/02
RV98002,RV98,Cause to exceed max permitted weight of a rigid vehicle: axle spacing. (No MOT of Manufacturer's Plate),125,Y,,823/02
RV98003,RV98,Permit to exceed the maximum permitted weight of a rigid vehicle: axle spacing. (No MOT of Manufacturer's Plate),125,Y,,823/02
RV98004,RV98,Exceed the maximum permitted gross weight (No MOT or Manufacturer's Plate),125,Y,,823/02
RV98005,RV98,Cause to exceed the maximum permitted gross weight (No MOT or Manufacturer's Plate),125,Y,,823/02
RV98006,RV98,Permit to exceed maximum permitted gross weight (No MOT or Manufacturer's Plate),125,Y,,823/02
RV98007,RV98,Exceed the maximum permitted weight of an articulated vehicle. (No MOT of Manufacturer's Plate),125,Y,,823/02
RV98008,RV98,Cause to exceed the maximum permitted weight of an articulated vehicle. (No MOT of Manufacturer's Plate),125,Y,,823/02
RV98009,RV98,Permit to exceed the maximum permitted weight of an articulated vehicle. (No MOT of Manufacturer's Plate),125,Y,,823/02
RV98010,RV98,Exceed max permitted weight of articulated vehicle: No of axles/configuration (No MOT or Manufacturer's Plate),125,Y,,823/02
RV98011,RV98,Cause exceed max permitted wt of artic' vehicle - No of axles/configuration (No MOT/Manufacturer's Plate),125,Y,,823/02
RC86354,RC86,Cause use of motor vehicle - anchorage not maintained - seat belt,125,Y,,815/90
RC86355,RC86,Cause use of vehicle with dangerous mascot etc,125,Y,,825/99
RC86356,RC86,Cause use of motor vehicle seat belt fastening not maintained etc,125,Y,,815/90
RC86359,RC86,Cause use of motor vehicle - material not maintained - seat belt,125,Y,,815/90
RC86360,RC86,Cause use of motor vehicle - ends not secured - seat belt,125,Y,,815/90
RC86361,RC86,Cause use of motor vehicle - disabled persons seat belt not secured,125,Y,,815/90
RC86365,RC86,Cause use of a motor vehicle with no silencer fitted,125,Y,,822/00
RC86366,RC86,Causing the use of a vehicle with exhaust gases escaping without passing through silencer.,125,Y,,822/00
RC86367,RC86,Cause use of motor vehicle with exhaust inefficient / not maintained,125,Y,,822/00
RC86368,RC86,Cause use of a vehicle fitted with an altered exhaust system,125,Y,,822/00
RC86369,RC86,Cause use of a motor vehicle emitting smoke / vapour / grit / oil,125,Y,,815/90
RC86370,RC86,Cause use of a vehicle / trailer no mudguards  / wings fitted,125,Y,,815/90
RC86371,RC86,"Fuel tank - leakage, (use)",125,N,2014-07-05 00:00:00,815/90
RC86372,RC86,"Fuel tank - leakage, (cause)",125,N,2014-07-05 00:00:00,815/90
RC86373,RC86,"Fuel tank - leakage, (permit)",125,N,2014-07-05 00:00:00,815/90
RC86374,RC86,Additional Braking Device Insecure,125,N,2014-07-05 00:00:00,815/90
RC86375,RC86,Tyres - Bulging (use),125,N,2007-07-24 19:51:01,815/03
PH19001,PH19,Fail to comply with provision / condition of a notice served,93,Y,,
PH19002,PH19,Fail to comply with provision / condition of an authorisation / permit granted,93,Y,,
RC86376,RC86,Tyres - Bulging (cause),125,N,2014-07-05 00:00:00,815/03
RC86377,RC86,Tyres - Bulging (permit),125,N,2014-07-05 00:00:00,815/03
RC86378,RC86,Tyres - Break/cut (use),125,N,2007-07-24 19:51:01,815/03
RC86379,RC86,Tyres - Break/cut (cause),125,N,2014-07-05 00:00:00,815/03
RC86380,RC86,Tyres - Break/cut (permit),125,N,2014-07-05 00:00:00,815/03
RC86381,RC86,Tyres - Ply or Cord Exposed (use),125,N,2007-07-24 19:51:01,815/03
RC86382,RC86,Tyres - Ply or Cord Exposed (cause),125,N,2014-07-05 00:00:00,815/03
RC86383,RC86,Permit use of motor vehicle / trailer with tyre with any of the ply / cord exposed,125,N,2014-07-05 00:00:00,815/03
RC86385,RC86,Cause use of a motor vehicle with width when laden exceeding 4.3 metres,125,Y,,823/90
RC86386,RC86,Cause use of a motor vehicle with lateral projection of load exceeding 305mm,125,Y,,823/90
RC86387,RC86,Cause use of a motor vehicle with width when laden exceeding 2.9 metres,125,Y,,823/90
RC86392,RC86,Cause use of a motor vehicle in a manner as to cause excessive noise,125,Y,,822/00
RC86394,RC86,Cause sounding of vehicle horn whilst stationary,125,Y,,822/00
RC86395,RC86,Cause motor vehicle horn to be sounded on restricted road at night,125,Y,,822/00
RF96102,RF96,Procure/persuade/attempt to procure/persuade reserve force soldier to commit offence of AWOL,93,N,2014-07-05 00:00:00,153/15
RF96103,RF96,"Knowing that a reserve force soldier is about to commit an offence of desertion, aids or assists him",93,N,2014-07-05 00:00:00,153/15
RF96104,RF96,"Knowing that a reserve force soldier is about to commit absence without leave, aids or assists him",93,N,2014-07-05 00:00:00,153/15
RF96105,RF96,Knowing reserve force soldier to be a deserter  procure/persuade/assist him to remain deserter,93,N,2014-07-05 00:00:00,153/15
RF96106,RF96,Knowing a reserve force soldier is absent w/o leave procure/persuade/assist him remain absent,93,N,2014-07-05 00:00:00,153/15
RF96107,RF96,Procure/persuade/att procure/persuade reserve force naval/marine to desert,93,N,2014-07-05 00:00:00,154/04
RF96108,RF96,Procure/persuade/attempt procure/persuade reserve force naval/ marine to be absent without leave.,93,N,2014-07-05 00:00:00,154/04
RF96109,RF96,"Knowing that reserve force naval/marine is about to desert, aids or assists him",93,N,2014-07-05 00:00:00,154/04
RF96110,RF96,"Knowing that reserve force naval/marine is about to go absent without leave, aids or assists him",93,N,2014-07-05 00:00:00,154/04
RF96111,RF96,Knowing reserve force naval/marine to be a deserter procure/persuade/assist him to remain deserter,93,N,2014-07-05 00:00:00,154/04
RF96112,RF96,Knowing reserve force naval/marine to be absentee w/o leave procure/persuade/assist him to remain absent,93,N,2014-07-05 00:00:00,154/04
RF96113,RF96,Procure/persuade/attempt to procure/persuade reserve force airman to desert,93,N,2014-07-05 00:00:00,155/08
RF96114,RF96,Procure/persuade/attempt to procure/persuade reserve force airman to be absent without leave.,93,N,2014-07-05 00:00:00,155/08
RF96115,RF96,Knowing that reserve force airman is about to desert aids or assists him,93,N,2014-07-05 00:00:00,155/08
RF96116,RF96,"Knowing that reserve force airman is about to go absent without leave, aids or assists him",93,N,2014-07-05 00:00:00,155/08
RF96117,RF96,Knowing reserve force airman to be deserter procure/persuade/assist him to remain a deserter,93,N,2014-07-05 00:00:00,155/08
RF96118,RF96,Knowing reserve force airman to be absent w/o leave procure/persuade/assist him to remain absent,93,N,2014-07-05 00:00:00,155/08
RF96119,RF96,Procure/persuade/attempt to procure/persuade reserve force soldier liable to recall to desert,93,N,2014-07-05 00:00:00,153/15
RF96120,RF96,Procure/persuade/attempt to procure/persuade a reserve force airman liable to recall to desert,93,N,2014-07-05 00:00:00,155/08
RF96121,RF96,Procure/persuade/attempt to procure/persuade a reserve force naval rating/marine liable to recall to desert,93,N,2014-07-05 00:00:00,154/04
RF96122,RF96,Procure/persuade/attempt to procure/persuade a reserve force soldier liable to recall go AWOL,93,N,2014-07-05 00:00:00,153/15
RF96123,RF96,Procure/persuade/attempt to procure/persuade a reserve force airman liable to recall to go AWOL,93,N,2014-07-05 00:00:00,155/08
RF96124,RF96,Procure/persuade/attempt to procure/persuade reserve force naval/marine liable to recall to go AWOL,93,N,2014-07-05 00:00:00,154/04
RF96125,RF96,"Knowing that a reserve force soldier, liable to recall, is about to desert assisting him in so doing.",93,N,2014-07-05 00:00:00,153/15
RF96126,RF96,"Knowing that an reserve force airman, liable to recall is about to desert assisted him to do so",93,N,2014-07-05 00:00:00,155/08
RF96127,RF96,Knowing that a reserve force naval rating/marine liable to recall is about to desert assisting him to do so.,93,N,2014-07-05 00:00:00,154/04
RF96128,RF96,Knowing that a reserve force soldier liable to recall is about to go AWOL assisted him,93,N,2014-07-05 00:00:00,153/15
RF96129,RF96,Knowing that a reserve force airman liable to recall is about to go AWOL assisted him,93,N,2014-07-05 00:00:00,155/08
RF96130,RF96,Knowing that reserve force naval rating/marine liable to recall is about to go AWOL assisted him,93,N,2014-07-05 00:00:00,154/04
RT60007,RT60,Using document other than operator's licence with intent to deceive,93,N,2014-07-05 00:00:00,814/05
RT60008,RT60,Lending document other than operator's licence with intent to deceive,93,N,2014-07-05 00:00:00,814/05
RT60009,RT60,Making operator's licence with intent to deceive,93,N,2014-07-05 00:00:00,814/01
RT60010,RT60,Possessing operator's licence with intent to deceive,93,N,2014-07-05 00:00:00,814/05
RT60011,RT60,Making document other than operator's licence with intent to deceive,93,N,2014-07-05 00:00:00,814/01
RT60012,RT60,Possessing document other than operator's licence with intent to deceive,93,N,2014-07-05 00:00:00,814/05
RT60013,RT60,Making false statement to obtain operator's licence,93,N,2014-07-05 00:00:00,812/00
RT60014,RT60,Making false statement to obtain driver's licence,93,N,2014-07-05 00:00:00,807/90
RT60017,RT60,Allowing document other than operator's licence to be used with intent to deceive,93,N,2014-07-05 00:00:00,814/05
RT60018,RT60,Failing to give information concerning identity of driver guilty of offence under Transport Act 1968 s60 or Part VI,93,N,2014-07-05 00:00:00,825/90
RT88003,RT88,Driving without due care and attention,125,Y,,804/01
RT88003B,RT88,Aiding and abetting driving without due care and attention,125,N,2014-07-05 00:00:00,804/01
RT88004,RT88,Driving without reasonable consideration,125,N,2014-07-05 00:00:00,804/01
RT88004B,RT88,Aiding and abetting driving without reasonable consideration,125,N,2014-07-05 00:00:00,804/01
RT88007,RT88,Drive motor vehicle when alcohol level above limit,113,Y,,803/02
RT88008,RT88,In charge of motor vehicle - alcohol level above limit,125,Y,,803/05
RT88010,RT88,Failing to provide specimen for analysis (driving or attempting to drive),113,Y,,803/03
RT88011,RT88,Fail to provide specimen - person in charge of vehicle,125,Y,,803/06
RT88016,RT88,Promote an unauthorised race / competition / speed trial between motor vehicles on a public way,125,Y,,825/90
RT88018,RT88,Participated in an unauthorised competition / trial using a motor vehicle on a public way,125,Y,,825/90
